word,label
a,3000
aaron,10000
ab,10000
abandon,3000
abandoned,10000
abc,10000
aberdeen,10000
abilities,10000
ability,3000
able,3000
abolish,5000
aboriginal,10000
abortion,5000
about,3000
above,3000
abraham,10000
abroad,3000
abs,10000
absence,5000
absent,5000
absolute,3000
absolutely,3000
absorb,5000
absorption,10000
abstract,5000
abstracts,10000
absurd,5000
abuse,5000
ac,10000
academic,3000
academics,10000
academy,5000
acc,10000
accelerate,5000
accent,5000
accept,3000
acceptable,3000
acceptance,5000
accepted,10000
accepting,10000
accepts,10000
access,3000
accessed,10000
accessibility,10000
accessible,5000
accessing,10000
accessories,10000
accessory,10000
accident,3000
accidentally,5000
accidents,10000
accommodate,5000
accommodation,5000
accommodations,10000
accompanied,10000
accompany,3000
accompanying,10000
accomplish,5000
accomplished,10000
accomplishment,5000
accordance,10000
according,3000
accordingly,5000
account,3000
accountability,5000
accountable,5000
accountant,5000
accounting,10000
accounts,10000
accreditation,10000
accredited,10000
accumulate,5000
accumulation,5000
accuracy,5000
accurate,3000
accurately,5000
accusation,5000
accuse,3000
accused,5000
ace,10000
acer,10000
achieve,3000
achieved,10000
achievement,3000
achievements,10000
achieving,10000
acid,5000
acids,10000
acknowledge,3000
acknowledged,10000
acne,10000
acoustic,10000
acquire,3000
acquired,10000
acquisition,5000
acquisitions,10000
acre,5000
acres,10000
acrobat,10000
across,3000
acrylic,10000
act,3000
acting,10000
action,3000
actions,10000
activate,5000
activated,10000
activation,5000
active,3000
actively,10000
activist,5000
activists,10000
activities,10000
activity,3000
actor,3000
actors,10000
actress,3000
acts,10000
actual,3000
actually,3000
acute,5000
ad,3000
ada,10000
adam,10000
adams,10000
adapt,3000
adaptation,5000
adapted,10000
adapter,10000
adapters,10000
adaptive,10000
adaptor,10000
add,3000
added,10000
addiction,5000
adding,10000
addition,3000
additional,3000
additionally,5000
additions,10000
address,3000
addressed,10000
addresses,10000
addressing,10000
adds,10000
adelaide,10000
adequate,5000
adequately,5000
adhere,5000
adj,3000
adjacent,5000
adjust,5000
adjustable,10000
adjusted,10000
adjustment,5000
adjustments,10000
administer,5000
administered,10000
administration,3000
administrative,5000
administrator,5000
administrators,10000
admire,3000
admission,5000
admissions,10000
admit,3000
admitted,10000
adobe,10000
adolescent,5000
adopt,3000
adopted,10000
adoption,5000
adrian,10000
ads,10000
adult,3000
adults,10000
adv,3000
advance,3000
advanced,3000
advancement,10000
advances,10000
advantage,3000
advantages,10000
adventure,3000
adventures,10000
adverse,5000
advert,10000
advertise,3000
advertisement,3000
advertisements,10000
advertiser,10000
advertisers,10000
advertising,3000
advice,3000
advise,3000
advised,10000
advisor,10000
advisors,10000
advisory,10000
advocacy,10000
advocate,5000
aerial,10000
aerospace,10000
aesthetic,5000
affair,3000
affairs,10000
affect,3000
affected,10000
affecting,10000
affection,5000
affects,10000
affiliate,10000
affiliated,10000
affiliates,10000
affiliation,10000
afford,3000
affordable,5000
afghanistan,10000
afraid,3000
africa,10000
african,10000
after,3000
aftermath,5000
afternoon,3000
afterward,3000
afterwards,10000
ag,10000
again,3000
against,3000
age,3000
aged,5000
agencies,10000
agency,3000
agenda,3000
agent,3000
agents,10000
ages,10000
aggregate,10000
aggression,5000
aggressive,3000
aging,10000
ago,3000
agree,3000
agreed,10000
agreement,3000
agreements,10000
agrees,10000
agricultural,5000
agriculture,5000
ah,3000
ahead,3000
ai,10000
aid,3000
aide,5000
aids,5000
aim,3000
aimed,10000
aims,10000
air,3000
aircraft,3000
airfare,10000
airline,3000
airlines,10000
airplane,10000
airport,3000
airports,10000
ak,10000
al,10000
ala,10000
alabama,10000
alarm,3000
alaska,10000
albania,10000
albany,10000
albert,10000
alberta,10000
album,3000
albums,10000
albuquerque,10000
alcohol,3000
alcoholic,3000
alert,5000
alerts,10000
alexander,10000
alexandria,10000
alfred,10000
algebra,10000
algeria,10000
algorithm,10000
algorithms,10000
ali,10000
alias,10000
alien,5000
align,5000
alignment,5000
alike,5000
alive,3000
all,3000
allah,10000
allegation,5000
allege,5000
alleged,10000
allegedly,5000
allen,10000
allergy,10000
alliance,5000
allied,10000
allocate,5000
allocated,10000
allocation,5000
allow,3000
allowance,5000
allowed,10000
allowing,10000
allows,10000
alloy,10000
ally,5000
almost,3000
alone,3000
along,3000
alongside,5000
alpha,10000
alphabetical,10000
alpine,10000
already,3000
also,3000
alt,10000
alter,3000
altered,10000
alternate,10000
alternative,3000
alternatively,10000
alternatives,10000
although,3000
alto,10000
altogether,5000
aluminium,10000
aluminum,5000
alumni,10000
always,3000
am,10000
amateur,5000
amazed,3000
amazing,3000
amazon,10000
ambassador,5000
amber,10000
ambient,10000
ambition,3000
ambitious,5000
ambulance,5000
amd,10000
amend,5000
amended,10000
amendment,5000
amendments,10000
amenities,10000
america,10000
american,3000
americans,10000
americas,10000
amid,5000
amino,10000
among,3000
amount,3000
amounts,10000
amp,10000
amplifier,10000
amsterdam,10000
amusing,5000
an,3000
ana,10000
anaheim,10000
anal,10000
analog,10000
analogy,5000
analyses,10000
analysis,3000
analyst,5000
analysts,10000
analytical,10000
analyze,3000
analyzed,10000
anatomy,10000
ancestor,5000
anchor,5000
ancient,3000
and,3000
anderson,10000
andorra,10000
andrew,10000
andrews,10000
angel,5000
angels,10000
anger,3000
angle,3000
angola,10000
angry,3000
animal,3000
animals,10000
animated,10000
animation,5000
anime,10000
ankle,3000
anna,10000
anne,10000
annex,10000
anniversary,3000
annotated,10000
annotation,10000
announce,3000
announced,10000
announcement,3000
announcements,10000
announces,10000
annoy,3000
annoyed,3000
annoying,3000
annual,3000
annually,5000
anonymous,5000
another,3000
answer,3000
answered,10000
answering,10000
answers,10000
ant,10000
antarctica,10000
antenna,10000
anthony,10000
anthropology,10000
anti,10000
antibodies,10000
antibody,10000
anticipate,5000
anticipated,10000
antigua,10000
antique,10000
antiques,10000
anxiety,5000
anxious,3000
any,3000
anybody,3000
anymore,3000
anyone,3000
anything,3000
anyway,3000
anywhere,3000
apache,10000
apart,3000
apartment,3000
apartments,10000
apollo,10000
apologize,3000
apology,5000
app,3000
apparatus,5000
apparel,5000
apparent,3000
apparently,3000
appeal,3000
appealing,5000
appeals,10000
appear,3000
appearance,3000
appeared,10000
appearing,10000
appears,10000
appendix,10000
appetite,5000
applaud,5000
apple,3000
appliance,10000
appliances,10000
applicable,5000
applicant,5000
applicants,10000
application,3000
applications,10000
applied,10000
applies,10000
apply,3000
applying,10000
appoint,5000
appointed,10000
appointment,3000
appointments,10000
appraisal,10000
appreciate,3000
appreciated,10000
appreciation,5000
approach,3000
approaches,10000
appropriate,3000
appropriately,5000
appropriations,10000
approval,3000
approve,3000
approved,10000
approximate,10000
approximately,3000
apr,10000
april,3000
apt,10000
aqua,10000
aquarium,10000
aquatic,10000
ar,10000
arab,10000
arabia,10000
arabic,10000
arbitrary,5000
arbitration,10000
arbor,10000
arc,10000
arcade,10000
arch,10000
architect,3000
architects,10000
architectural,5000
architecture,3000
archive,5000
archived,10000
archives,10000
arctic,10000
are,5000
area,3000
areas,10000
arena,5000
argentina,10000
argue,3000
argued,10000
argument,3000
arguments,10000
arise,3000
arising,10000
arizona,10000
arkansas,10000
arlington,10000
arm,3000
armed,3000
armenia,10000
armor,10000
arms,3000
armstrong,10000
army,3000
arnold,10000
around,3000
arrange,3000
arranged,10000
arrangement,3000
arrangements,10000
array,5000
arrest,3000
arrested,10000
arrival,3000
arrivals,10000
arrive,3000
arrived,10000
arrives,10000
arrow,5000
art,3000
arthritis,10000
arthur,10000
article,3000
articles,10000
articulate,5000
artificial,3000
artist,3000
artistic,3000
artists,10000
arts,10000
artwork,5000
aruba,10000
as,3000
asbestos,10000
ascii,10000
ash,5000
ashamed,3000
asia,10000
asian,10000
aside,3000
asin,10000
ask,3000
asked,10000
asking,10000
asks,10000
asleep,3000
asp,10000
aspect,3000
aspects,10000
aspiration,5000
aspire,5000
ass,10000
assassination,5000
assault,5000
assemble,5000
assembled,10000
assembly,5000
assert,5000
assertion,5000
assess,3000
assessed,10000
assessing,10000
assessment,3000
assessments,10000
asset,5000
assets,10000
assign,5000
assigned,10000
assignment,3000
assignments,10000
assist,3000
assistance,5000
assistant,3000
assisted,10000
assists,10000
associate,3000
associated,3000
associates,10000
association,3000
associations,10000
assume,3000
assumed,10000
assumes,10000
assuming,10000
assumption,5000
assumptions,10000
assurance,5000
assure,5000
assured,10000
asthma,10000
astonishing,5000
astrology,10000
astronomy,10000
asylum,5000
at,3000
ate,10000
athens,10000
athlete,3000
athletes,10000
athletic,5000
athletics,10000
atlanta,10000
atlantic,10000
atlas,10000
atm,10000
atmosphere,3000
atmospheric,10000
atom,10000
atomic,10000
atrocity,5000
attach,3000
attached,10000
attachment,5000
attachments,10000
attack,3000
attacked,10000
attacks,10000
attain,5000
attempt,3000
attempted,10000
attempting,10000
attempts,10000
attend,3000
attendance,5000
attended,10000
attending,10000
attention,3000
attitude,3000
attitudes,10000
attorney,3000
attorneys,10000
attract,3000
attraction,3000
attractions,10000
attractive,3000
attribute,5000
attributes,10000
au,10000
auburn,10000
auckland,10000
auction,5000
auctions,10000
audience,3000
audio,5000
audit,5000
auditor,10000
aug,10000
august,3000
aunt,3000
