word,frequency,label
distraction,9,
these,8,
knit,6,10000
stimulation,5,
those,5,
u,5,
span,4,5000
boredom,3,
canada,3,10000
regard,3,3000
ritual,3,5000
stimulate,3,5000
stimulated,3,
wanders,3,
baggage,2,
bias,2,5000
couch,2,
crave,2,
curiously,2,
deliberately,2,3000
direction,2,3000
disconnect,2,
disconnection,2,
doesn,2,
dopamine,2,
downward,2,3000
effortlessly,2,
fascinate,2,
laughter,2,3000
mode,2,5000
notepad,2,
observe,2,3000
overstimulated,2,
rediscover,2,
scatter,2,
symptom,2,3000
technology,2,3000
tick,2,
accumulate,1,5000
added,1,10000
alright,1,
amanda,1,
anti-hustler,1,
applause,1,
attentional,1,
beep,1,
blank,1,3000
blooping,1,
bore,1,
bristol,1,10000
capture,1,3000
chemical,1,3000
chu,1,
circulate,1,5000
clipping,1,
conduct,1,3000
constellation,1,
consume,1,3000
creativity,1,5000
curious,1,5000
dastardly,1,
deeper,1,10000
delicate,1,5000
demographic,1,10000
devil,1,5000
didn,1,
digit,1,10000
distracted,1,
domino,1,
dull,1,5000
ease,1,5000
eliminate,1,5000
essentially,1,5000
expand,1,3000
facebook,1,
fruitful,1,
fundamental,1,3000
gender,1,5000
hasn,1,
hustle,1,
hyperstimulated,1,
impact,1,3000
incubate,1,
influence,1,3000
instagram,1,
intent,1,5000
ipad,1,
itunes,1,
jeez,1,
knitting,1,10000
massage,1,10000
masseuse,1,
materialize,1,
mechanism,1,5000
memos,1,
nearby,1,5000
novelty,1,10000
nugget,1,
offender,1,5000
omelette,1,
overstimulation,1,
overwhelming,1,5000
pi,1,10000
podcasts,1,10000
political,1,3000
pore,1,
pro,1,10000
prod,1,
productive,1,5000
productivity,1,5000
prospective,1,5000
readable,1,
reconnect,1,
remarkably,1,5000
restlessness,1,
reviewer,1,10000
sabbath,1,
series,1,3000
slack,1,
smartphone,1,3000
soak,1,5000
stereotypic,1,
swirl,1,
thought-wandering,1,
tolkien,1,
train,1,3000
translator,1,10000
two-week,1,
ugh,1,
upgrade,1,5000
various,1,3000
viviane,1,
wasn,1,
weekly,1,5000
wrist,1,5000
the,103,3000
to,89,3000
be,83,3000
and,72,3000
i,71,3000
a,69,3000
that,65,3000
we,63,3000
of,59,3000
it,55,3000
this,50,3000
you,49,3000
our,38,3000
mind,33,3000
in,31,3000
on,27,3000
do,26,10000
have,26,3000
but,25,3000
so,25,3000
my,22,3000
think,22,3000
your,22,3000
for,21,3000
when,20,3000
about,19,3000
more,19,3000
thing,18,3000
focus,17,3000
idea,17,3000
one,15,3000
with,15,3000
attention,14,3000
time,14,3000
day,13,3000
get,13,3000
how,13,3000
if,13,3000
what,13,3000
from,11,3000
go,11,3000
not,11,3000
at,10,3000
because,10,3000
call,10,3000
make,10,3000
much,10,3000
something,10,3000
wander,10,5000
don,9,10000
know,9,3000
out,9,3000
world,9,3000
an,8,3000
could,8,3000
just,8,3000
let,8,3000
research,8,3000
take,8,3000
there,8,3000
all,7,3000
me,7,3000
might,7,3000
phone,7,3000
state,7,3000
up,7,3000
around,6,3000
can,6,10000
first,6,3000
hour,6,3000
less,6,3000
like,6,3000
love,6,3000
plan,6,3000
same,6,3000
simple,6,3000
than,6,3000
come,5,3000
different,5,3000
even,5,3000
find,5,3000
into,5,3000
life,5,3000
many,5,3000
need,5,3000
notice,5,3000
place,5,3000
room,5,3000
some,5,3000
then,5,3000
very,5,3000
where,5,3000
which,5,3000
work,5,3000
after,4,3000
another,4,3000
attach,4,3000
back,4,3000
before,4,3000
device,4,3000
distract,4,5000
every,4,3000
experiment,4,3000
few,4,3000
future,4,3000
happen,4,3000
move,4,3000
office,4,3000
past,4,3000
present,4,3000
shower,4,3000
start,4,3000
wait,4,3000
week,4,3000
whatever,4,3000
why,4,3000
allow,3,3000
amount,3,3000
as,3,3000
between,3,3000
bit,3,3000
brain,3,3000
calm,3,3000
case,3,3000
challenge,3,3000
chance,3,3000
down,3,3000
during,3,3000
else,3,3000
especially,3,3000
ever,3,3000
long,3,5000
look,3,3000
low,3,3000
maybe,3,3000
moment,3,3000
month,3,3000
morning,3,3000
only,3,3000
or,3,3000
over,3,3000
problem,3,3000
rest,3,3000
screen,3,3000
second,3,10000
show,3,3000
spend,3,3000
still,3,3000
them,3,3000
three,3,3000
today,3,3000
turn,3,3000
walk,3,3000
want,3,3000
watch,3,3000
way,3,3000
addition,2,3000
adjust,2,5000
air,2,3000
also,2,3000
always,2,3000
anymore,2,3000
ask,2,3000
bath,2,3000
become,2,3000
bed,2,3000
begin,2,3000
best,2,3000
bounce,2,5000
bunch,2,3000
by,2,3000
car,2,3000
change,2,3000
claim,2,3000
cook,2,3000
course,2,3000
create,2,3000
deep,2,3000
department,2,3000
dive,2,5000
effect,2,3000
email,2,3000
exact,2,3000
example,2,3000
favorite,2,3000
feature,2,3000
feel,2,3000
fit,2,3000
forward,2,3000
front,2,3000
good,2,3000
great,2,3000
help,2,3000
here,2,3000
hit,2,3000
hotel,2,3000
lead,2,10000
level,2,3000
line,2,3000
listen,2,3000
little,2,3000
live,2,10000
lower,2,3000
map,2,3000
math,2,3000
medium,2,3000
meet,2,3000
minute,2,10000
most,2,3000
myself,2,3000
name,2,3000
never,2,3000
new,2,3000
next,2,3000
often,2,3000
paper,2,3000
particular,2,3000
people,2,3000
reader,2,3000
reason,2,3000
reward,2,3000
rid,2,3000
root,2,3000
say,2,3000
seek,2,3000
shift,2,3000
single,2,3000
space,2,3000
strike,2,3000
stuff,2,3000
sunday,2,3000
talk,2,3000
they,2,3000
though,2,3000
through,2,3000
top,2,3000
traffic,2,3000
true,2,3000
two,2,3000
use,2,3000
vacation,2,3000
wake,2,3000
waste,2,3000
well,2,3000
who,2,3000
year,2,3000
ability,1,3000
able,1,3000
act,1,3000
activity,1,3000
actual,1,3000
actually,1,3000
add,1,3000
afternoon,1,3000
age,1,3000
ago,1,3000
anything,1,3000
application,1,3000
approach,1,3000
area,1,3000
arrive,1,3000
attend,1,3000
aware,1,3000
behavior,1,3000
benefit,1,3000
big,1,3000
board,1,3000
body,1,3000
bored,1,3000
boring,1,3000
bottom,1,3000
breakfast,1,3000
brilliant,1,3000
build,1,3000
busy,1,3000
cause,1,3000
check,1,3000
clear,1,3000
clock,1,3000
combine,1,3000
completely,1,3000
computer,1,3000
condition,1,3000
connect,1,3000
control,1,3000
count,1,3000
creative,1,3000
crime,1,3000
daily,1,3000
decide,1,3000
deeply,1,3000
determine,1,3000
difficult,1,3000
digital,1,3000
each,1,3000
easy,1,3000
eat,1,3000
eight,1,3000
end,1,3000
enemy,1,3000
enough,1,3000
entire,1,3000
episode,1,3000
event,1,3000
everything,1,3000
exist,1,3000
expect,1,3000
experience,1,3000
expert,1,3000
extra,1,3000
fact,1,3000
familiar,1,3000
fast,1,3000
feeling,1,3000
fly,1,3000
four,1,3000
full,1,3000
fully,1,3000
fun,1,3000
give,1,3000
grow,1,3000
he,1,3000
hell,1,3000
high,1,3000
highway,1,3000
hobby,1,3000
hold,1,3000
house,1,3000
hundred,1,3000
important,1,3000
information,1,3000
inside,1,3000
internet,1,3000
isn,1,
itself,1,3000
journey,1,3000
later,1,3000
laugh,1,3000
lay,1,3000
lazy,1,3000
lie,1,3000
lose,1,3000
lot,1,3000
main,1,3000
maximum,1,3000
meeting,1,3000
mine,1,3000
mother,1,3000
murder,1,3000
music,1,3000
necessarily,1,3000
nerve,1,3000
newspaper,1,3000
note,1,3000
now,1,3000
number,1,3000
object,1,3000
occur,1,3000
okay,1,10000
once,1,3000
open,1,3000
order,1,3000
other,1,3000
otherwise,1,3000
oven,1,3000
own,1,3000
pan,1,3000
part,1,3000
pay,1,3000
phrase,1,3000
physical,1,3000
picture,1,3000
pizza,1,10000
plane,1,3000
please,1,3000
pleasure,1,3000
point,1,3000
possibly,1,3000
purpose,1,3000
put,1,3000
quote,1,3000
rarely,1,3000
read,1,3000
real,1,3000
recall,1,3000
reservation,1,3000
right,1,3000
run,1,3000
sad,1,3000
session,1,3000
settle,1,3000
several,1,3000
short,1,3000
should,1,3000
simply,1,3000
sit,1,3000
social,1,3000
solution,1,3000
solve,1,3000
somebody,1,3000
string,1,3000
study,1,3000
super,1,5000
surround,1,3000
switch,1,3000
tap,1,5000
term,1,3000
thank,1,3000
thought,1,3000
tiny,1,3000
tip,1,3000
too,1,3000
trick,1,3000
try,1,3000
type,1,3000
uncomfortable,1,3000
until,1,3000
upon,1,3000
upset,1,3000
video,1,3000
website,1,3000
whenever,1,3000
while,1,3000
whole,1,3000
will,1,3000
wonderful,1,3000
word,1,3000
would,1,3000
write,1,3000
yet,1,3000
yourself,1,3000
zero,1,3000
zone,1,3000
