word,frequency,label
you,41216,3000
be,30804,3000
to,22948,3000
the,21412,3000
it,16839,3000
that,13960,3000
and,13857,3000
do,10252,10000
have,9969,3000
me,9230,3000
of,8963,3000
we,8938,3000
what,8894,3000
in,7540,3000
this,7408,3000
my,7383,3000
know,6962,3000
for,6824,3000
get,6774,3000
just,6687,3000
re,6470,10000
so,6383,3000
your,6001,3000
don,5914,10000
not,5833,3000
no,5817,3000
he,5802,3000
oh,5644,3000
on,5598,3000
go,5539,3000
can,5492,10000
but,5257,3000
she,5244,3000
with,4829,3000
well,4821,3000
think,4426,3000
her,4280,3000
about,4149,3000
if,3659,3000
want,3600,3000
out,3547,3000
all,3473,3000
like,3389,3000
say,3373,3000
there,3294,3000
here,3281,3000
come,3207,3000
up,3026,3000
how,3011,3000
tell,2981,3000
yeah,2949,3000
they,2838,3000
right,2723,3000
at,2710,3000
why,2668,3000
him,2655,3000
now,2650,3000
make,2643,3000
one,2636,3000
okay,2574,10000
look,2553,3000
good,2477,3000
take,2414,3000
when,2391,3000
see,2334,3000
need,2323,3000
really,2224,3000
would,2166,3000
time,2157,3000
who,2120,3000
let,1964,3000
could,1943,3000
talk,1916,3000
back,1885,3000
sorry,1860,3000
hey,1853,3000
thing,1837,3000
some,1803,3000
mean,1706,3000
an,1676,3000
our,1672,3000
will,1615,3000
his,1613,3000
little,1602,3000
love,1594,3000
give,1553,3000
from,1545,3000
something,1535,3000
yes,1530,3000
then,1432,3000
because,1412,3000
way,1367,3000
guy,1360,3000
find,1356,3000
god,1340,3000
never,1317,3000
should,1255,3000
call,1227,3000
day,1227,3000
over,1225,3000
sure,1215,3000
try,1214,3000
help,1195,3000
by,1190,3000
them,1178,3000
work,1170,3000
more,1152,3000
or,1141,3000
too,1110,3000
where,1093,3000
please,1075,3000
thank,1075,3000
people,1067,3000
kid,1062,3000
off,1058,3000
wait,1056,3000
leave,1039,3000
mike,1038,10000
life,1034,3000
friend,1033,3000
much,1005,3000
keep,1004,3000
carlos,998,10000
mom,974,3000
home,970,3000
house,967,3000
happen,957,3000
feel,951,3000
down,927,3000
even,927,3000
maybe,895,3000
great,876,3000
again,873,3000
ask,872,3000
still,872,3000
start,870,3000
only,869,3000
stop,860,3000
night,859,3000
fine,847,3000
woman,832,3000
two,823,3000
into,820,3000
year,818,3000
ok,811,3000
put,795,3000
hear,791,3000
very,789,3000
any,782,3000
first,774,3000
anything,743,3000
tom,739,10000
care,738,3000
man,718,3000
after,710,3000
bad,708,3000
always,706,3000
before,698,3000
husband,698,3000
ever,697,3000
away,695,3000
other,687,3000
mr,682,10000
new,678,3000
nice,675,3000
baby,674,3000
everything,658,3000
lot,657,3000
move,653,3000
win,652,3000
last,650,10000
someone,649,3000
big,648,3000
remember,639,3000
mother,636,3000
hi,633,3000
long,631,5000
use,629,3000
than,627,3000
their,616,3000
girl,611,3000
as,606,3000
believe,598,3000
nothing,595,3000
course,594,3000
every,584,3000
actually,581,3000
bring,581,3000
honey,579,5000
might,575,3000
kill,572,3000
kind,570,3000
isn,562,
guess,555,3000
job,542,3000
thanks,541,3000
place,540,3000
meet,536,3000
around,535,3000
wrong,530,3000
happy,527,3000
through,527,3000
run,526,3000
hell,523,3000
family,518,3000
money,504,3000
wife,504,3000
live,497,10000
cause,493,3000
stay,490,3000
old,481,3000
mind,474,3000
problem,473,3000
buy,472,3000
while,469,3000
together,466,3000
hello,463,3000
week,462,3000
lose,454,3000
best,447,3000
car,447,3000
marry,445,3000
name,445,3000
next,444,3000
play,442,3000
another,441,3000
change,441,3000
since,440,3000
turn,440,3000
understand,439,3000
else,437,3000
child,434,3000
son,433,3000
miss,430,3000
show,428,3000
idea,425,3000
minute,423,10000
enough,419,3000
dinner,418,3000
month,418,3000
party,418,3000
pretty,418,3000
saw,416,10000
sound,413,3000
room,412,3000
own,409,3000
whole,399,3000
boy,396,3000
break,396,3000
excuse,395,3000
worry,393,3000
tomorrow,390,3000
few,389,3000
seem,388,3000
forget,386,3000
listen,386,3000
hour,384,3000
hard,383,3000
pay,383,3000
must,379,3000
late,378,3000
fun,377,3000
check,376,3000
stuff,374,3000
until,374,3000
father,373,3000
andrew,372,10000
dad,371,3000
morning,365,3000
sleep,365,3000
which,365,3000
once,359,3000
school,359,3000
sex,359,3000
hand,358,3000
date,354,3000
three,353,3000
haven,352,10000
myself,350,3000
watch,347,3000
plan,345,3000
daughter,344,3000
hope,344,3000
lie,344,3000
exactly,338,3000
young,336,3000
end,334,3000
hurt,334,3000
trust,334,3000
may,332,3000
face,330,3000
mrs,330,10000
second,329,10000
walk,329,3000
suppose,328,3000
deal,324,3000
die,323,3000
today,322,3000
already,321,3000
hold,319,3000
sit,316,3000
paul,315,10000
crazy,313,3000
tonight,313,3000
pick,312,3000
police,312,3000
everyone,311,3000
such,309,3000
eat,307,3000
dead,305,3000
drink,303,3000
ready,302,3000
same,302,3000
spend,302,3000
without,300,3000
throw,294,3000
lady,291,3000
secret,291,3000
street,291,3000
yourself,291,3000
open,288,3000
head,287,3000
point,287,3000
yet,287,3000
business,286,3000
question,286,3000
hate,284,3000
neighbor,283,3000
ago,281,3000
probably,281,3000
part,274,3000
moment,273,3000
most,272,3000
person,272,3000
anymore,270,3000
marriage,265,3000
real,264,3000
send,261,3000
wear,260,3000
hit,259,3000
promise,259,3000
doctor,258,3000
desperate,257,3000
each,254,3000
housewife,254,
wow,253,3000
damn,252,10000
realize,252,3000
drive,251,3000
matter,250,3000
couple,247,3000
close,246,10000
reason,246,3000
word,246,3000
bed,245,3000
both,242,3000
anyone,241,3000
decide,240,3000
later,239,3000
soon,238,3000
